id,text,yes1,yes2,yes3,yes4,no1,no2,no3,no4,factor1,factor2,factor3,factor4,notes
,,,,,,,,,,Traffic,Conversion Rate,Data Quality,Budget,This row used only for naming the factors.
c1,Run a mass marketing ad campaign ,10,0,0,-5,0,0,0,0,,,,,
c2,Run a targeted ad campaign,7,7,0,-15,0,0,0,0,,,,,
c3,Optimise your site for mobile devices ,10,15,0,-15,0,0,0,0,,,,,
c4,Add a recommendation engine to your site ,0,8,0,-15,0,0,0,0,,,,,Anything you type in this column will have no effect on the game.
c5,Invest in a customer data platform ,0,12,20,-15,0,0,0,0,,,,,Use it to take notes etc.
c6,Offer free delivery on orders over (X amount),5,5,0,0,0,0,0,0,,,,,
c7,Improve product content on your site ,0,8,0,-5,0,0,0,0,,,,,
c8,Offer a variety of payment options at checkout,0,8,0,8,0,0,0,0,,,,,
c9,"Add a 'buy now, pay later' option at checkout (e.g. Klarna)",0,8,0,5,0,0,0,0,,,,,
c10,Offer a variety of delivery options at checkout,0,5,0,2,0,0,0,0,,,,,
c11,Increase your social media reach & following,12,0,0,-5,0,0,0,0,,,,,
c12,Make efforts to increase your organic search ranking for relevant search terms,10,8,0,-15,0,0,0,0,,,,,
c13,Take out paid search ads to promote your most popular search terms ,8,12,0,-15,0,0,0,0,,,,,
c14,Invest in an mCommerce app with personalised push notifications,0,8,0,-30,0,0,0,0,,,,,
c15,Offer free returns / return in-store?,5,5,0,-2,0,0,0,0,,,,,
